Year,system,District,Subject,Percent P/A
2012,160.0,Coffee County,Math,38.1
2011,160.0,Coffee County,Math,30.2
2015,160.0,Coffee County,ELA,47.6
2014,160.0,Coffee County,ELA,47.5
2013,160.0,Coffee County,ELA,51.2
2012,160.0,Coffee County,ELA,45.1
2011,160.0,Coffee County,ELA,46.0
2015,160.0,Coffee County,Science,66.1
2014,160.0,Coffee County,Science,64.7
2013,160.0,Coffee County,Science,64.5
2012,160.0,Coffee County,Science,58.6
2011,160.0,Coffee County,Science,55.1
2015,795.0,Collierville City,Algebra I,90.2
2014,795.0,Collierville City,Algebra I,90.3
2013,795.0,Collierville City,Algebra I,80.7
2012,795.0,Collierville City,Algebra I,NA
2011,795.0,Collierville City,Algebra I,NA
2015,795.0,Collierville City,Algebra II,85.5
2014,795.0,Collierville City,Algebra II,80.3
2013,795.0,Collierville City,Algebra II,76.7
2012,795.0,Collierville City,Algebra II,NA
2011,795.0,Collierville City,Algebra II,NA
2015,795.0,Collierville City,Biology I,87.4
2014,795.0,Collierville City,Biology I,84.5
2013,795.0,Collierville City,Biology I,80.7
2012,795.0,Collierville City,Biology I,NA
2011,795.0,Collierville City,Biology I,NA
2015,795.0,Collierville City,Chemistry,80.5
2014,795.0,Collierville City,Chemistry,68.5
2013,795.0,Collierville City,Chemistry,NA
2012,795.0,Collierville City,Chemistry,NA
2011,795.0,Collierville City,Chemistry,NA
2015,795.0,Collierville City,English I,92.4
2014,795.0,Collierville City,English I,87.5
2013,795.0,Collierville City,English I,87.7
2012,795.0,Collierville City,English I,NA
2011,795.0,Collierville City,English I,NA
2015,795.0,Collierville City,English II,86.2
2014,795.0,Collierville City,English II,85.0
2013,795.0,Collierville City,English II,82.4
2012,795.0,Collierville City,English II,NA
2011,795.0,Collierville City,English II,NA
2015,795.0,Collierville City,English III,66.2
2014,795.0,Collierville City,English III,60.3
2013,795.0,Collierville City,English III,56.5
2012,795.0,Collierville City,English III,NA
2011,795.0,Collierville City,English III,NA
2015,795.0,Collierville City,Graduation Rate,93.0
2014,795.0,Collierville City,Graduation Rate,94.4
2013,795.0,Collierville City,Graduation Rate,NA
2012,795.0,Collierville City,Graduation Rate,NA
2011,795.0,Collierville City,Graduation Rate,NA
2015,795.0,Collierville City,Math,75.7
2014,795.0,Collierville City,Math,70.1
2013,795.0,Collierville City,Math,73.3
2012,795.0,Collierville City,Math,NA
2011,795.0,Collierville City,Math,NA
2015,795.0,Collierville City,ELA,75.1
2014,795.0,Collierville City,ELA,76.2
2013,795.0,Collierville City,ELA,77.1
2012,795.0,Collierville City,ELA,NA
2011,795.0,Collierville City,ELA,NA
2015,795.0,Collierville City,Science,86.8
2014,795.0,Collierville City,Science,86.7
2013,795.0,Collierville City,Science,87.2
2012,795.0,Collierville City,Science,NA
2011,795.0,Collierville City,Science,NA
2015,170.0,Crockett County,Algebra I,78.0
2014,170.0,Crockett County,Algebra I,68.4
2013,170.0,Crockett County,Algebra I,61.7
2012,170.0,Crockett County,Algebra I,65.1
2011,170.0,Crockett County,Algebra I,48.9
2015,170.0,Crockett County,Algebra II,63.4
2014,170.0,Crockett County,Algebra II,35.2
2013,170.0,Crockett County,Algebra II,26.7
2012,170.0,Crockett County,Algebra II,13.7
2011,170.0,Crockett County,Algebra II,NA
2015,170.0,Crockett County,Biology I,77.9
2014,170.0,Crockett County,Biology I,67.7
2013,170.0,Crockett County,Biology I,74.3
2012,170.0,Crockett County,Biology I,54.9
2011,170.0,Crockett County,Biology I,54.6
2015,170.0,Crockett County,Chemistry,43.7
2014,170.0,Crockett County,Chemistry,41.3
2013,170.0,Crockett County,Chemistry,NA
2012,170.0,Crockett County,Chemistry,NA
2011,170.0,Crockett County,Chemistry,NA
2015,170.0,Crockett County,English I,71.6
2014,170.0,Crockett County,English I,70.4
2013,170.0,Crockett County,English I,68.0
2012,170.0,Crockett County,English I,68.6
2011,170.0,Crockett County,English I,68.2
2015,170.0,Crockett County,English II,65.5
2014,170.0,Crockett County,English II,58.0
2013,170.0,Crockett County,English II,56.9
2012,170.0,Crockett County,English II,61.8
2011,170.0,Crockett County,English II,51.3
2015,170.0,Crockett County,English III,50.0
2014,170.0,Crockett County,English III,47.0
2013,170.0,Crockett County,English III,38.1
2012,170.0,Crockett County,English III,34.1
2011,170.0,Crockett County,English III,NA
2015,170.0,Crockett County,Graduation Rate,95.9
2014,170.0,Crockett County,Graduation Rate,90.1
2013,170.0,Crockett County,Graduation Rate,89.9
2012,170.0,Crockett County,Graduation Rate,94.9
2011,170.0,Crockett County,Graduation Rate,NA
2015,170.0,Crockett County,Math,57.2
2014,170.0,Crockett County,Math,46.0
2013,170.0,Crockett County,Math,46.6
2012,170.0,Crockett County,Math,38.5
2011,170.0,Crockett County,Math,33.2
2015,170.0,Crockett County,ELA,48.8
2014,170.0,Crockett County,ELA,47.7
2013,170.0,Crockett County,ELA,45.4
2012,170.0,Crockett County,ELA,43.1
2011,170.0,Crockett County,ELA,46.2
2015,170.0,Crockett County,Science,67.3
2014,170.0,Crockett County,Science,63.6
2013,170.0,Crockett County,Science,62.3
2012,170.0,Crockett County,Science,57.3
2011,170.0,Crockett County,Science,54.0
2015,180.0,Cumberland County,Algebra I,84.3
2014,180.0,Cumberland County,Algebra I,74.2
2013,180.0,Cumberland County,Algebra I,74.4
2012,180.0,Cumberland County,Algebra I,66.7
2011,180.0,Cumberland County,Algebra I,55.1
2015,180.0,Cumberland County,Algebra II,63.5
2014,180.0,Cumberland County,Algebra II,63.4
2013,180.0,Cumberland County,Algebra II,50.7
2012,180.0,Cumberland County,Algebra II,37.6
2011,180.0,Cumberland County,Algebra II,NA
2015,180.0,Cumberland County,Biology I,72.5
2014,180.0,Cumberland County,Biology I,72.7
2013,180.0,Cumberland County,Biology I,70.5
2012,180.0,Cumberland County,Biology I,62.3
2011,180.0,Cumberland County,Biology I,57.4
2015,180.0,Cumberland County,Chemistry,52.1
2014,180.0,Cumberland County,Chemistry,50.2
2013,180.0,Cumberland County,Chemistry,NA
2012,180.0,Cumberland County,Chemistry,NA
2011,180.0,Cumberland County,Chemistry,NA
2015,180.0,Cumberland County,English I,79.7
2014,180.0,Cumberland County,English I,79.5
2013,180.0,Cumberland County,English I,75.5
2012,180.0,Cumberland County,English I,71.4
2011,180.0,Cumberland County,English I,67.9
2015,180.0,Cumberland County,English II,65.4
2014,180.0,Cumberland County,English II,70.8
2013,180.0,Cumberland County,English II,66.4
2012,180.0,Cumberland County,English II,60.9
2011,180.0,Cumberland County,English II,54.5
2015,180.0,Cumberland County,English III,54.0
2014,180.0,Cumberland County,English III,48.8
2013,180.0,Cumberland County,English III,40.5
2012,180.0,Cumberland County,English III,38.0
2011,180.0,Cumberland County,English III,NA
2015,180.0,Cumberland County,Graduation Rate,93.0
2014,180.0,Cumberland County,Graduation Rate,92.8
2013,180.0,Cumberland County,Graduation Rate,93.3
2012,180.0,Cumberland County,Graduation Rate,92.3
2011,180.0,Cumberland County,Graduation Rate,NA
2015,180.0,Cumberland County,Math,58.9
2014,180.0,Cumberland County,Math,55.3
2013,180.0,Cumberland County,Math,50.1
2012,180.0,Cumberland County,Math,55.0
2011,180.0,Cumberland County,Math,50.0
2015,180.0,Cumberland County,ELA,52.0
2014,180.0,Cumberland County,ELA,54.2
2013,180.0,Cumberland County,ELA,54.2
2012,180.0,Cumberland County,ELA,56.4
2011,180.0,Cumberland County,ELA,53.1
2015,180.0,Cumberland County,Science,71.2
2014,180.0,Cumberland County,Science,71.0
2013,180.0,Cumberland County,Science,67.9
2012,180.0,Cumberland County,Science,67.8
2011,180.0,Cumberland County,Science,63.1
2015,190.0,Davidson County,Algebra I,65.3
2014,190.0,Davidson County,Algebra I,58.0
2013,190.0,Davidson County,Algebra I,60.5
2012,190.0,Davidson County,Algebra I,48.6
2011,190.0,Davidson County,Algebra I,45.3
2015,190.0,Davidson County,Algebra II,40.4
2014,190.0,Davidson County,Algebra II,28.6
2013,190.0,Davidson County,Algebra II,24.3
2012,190.0,Davidson County,Algebra II,17.1
2011,190.0,Davidson County,Algebra II,NA
2015,190.0,Davidson County,Biology I,51.7
2014,190.0,Davidson County,Biology I,49.4
2013,190.0,Davidson County,Biology I,46.1
2012,190.0,Davidson County,Biology I,37.3
2011,190.0,Davidson County,Biology I,36.6
2015,190.0,Davidson County,Chemistry,36.8
2014,190.0,Davidson County,Chemistry,25.4
2013,190.0,Davidson County,Chemistry,NA
2012,190.0,Davidson County,Chemistry,NA
2011,190.0,Davidson County,Chemistry,NA
2015,190.0,Davidson County,English I,63.7
2014,190.0,Davidson County,English I,62.4
2013,190.0,Davidson County,English I,56.4
2012,190.0,Davidson County,English I,54.6
2011,190.0,Davidson County,English I,55.1
2015,190.0,Davidson County,English II,56.3
2014,190.0,Davidson County,English II,55.1
2013,190.0,Davidson County,English II,47.5
2012,190.0,Davidson County,English II,48.6
2011,190.0,Davidson County,English II,46.7
2015,190.0,Davidson County,English III,29.8
2014,190.0,Davidson County,English III,22.9
2013,190.0,Davidson County,English III,25.5
2012,190.0,Davidson County,English III,21.7
2011,190.0,Davidson County,English III,NA
2015,190.0,Davidson County,Graduation Rate,78.7
2014,190.0,Davidson County,Graduation Rate,76.6
2013,190.0,Davidson County,Graduation Rate,78.4
2012,190.0,Davidson County,Graduation Rate,76.2
2011,190.0,Davidson County,Graduation Rate,NA
2015,190.0,Davidson County,Math,45.4
2014,190.0,Davidson County,Math,42.6
2013,190.0,Davidson County,Math,40.7
2012,190.0,Davidson County,Math,38.3
2011,190.0,Davidson County,Math,31.4
2015,190.0,Davidson County,ELA,39.3
2014,190.0,Davidson County,ELA,40.7
2013,190.0,Davidson County,ELA,40.0
2012,190.0,Davidson County,ELA,40.6
2011,190.0,Davidson County,ELA,37.7
2015,190.0,Davidson County,Science,49.1
2014,190.0,Davidson County,Science,48.1
2013,190.0,Davidson County,Science,46.1
2012,190.0,Davidson County,Science,45.0
2011,190.0,Davidson County,Science,39.3
2015,721.0,Dayton City,Algebra I,91.6
2014,721.0,Dayton City,Algebra I,95.2
2013,721.0,Dayton City,Algebra I,100.0
2012,721.0,Dayton City,Algebra I,38.1
2011,721.0,Dayton City,Algebra I,72.0
2015,721.0,Dayton City,Algebra II,NA
2014,721.0,Dayton City,Algebra II,NA
2013,721.0,Dayton City,Algebra II,NA
2012,721.0,Dayton City,Algebra II,NA
2011,721.0,Dayton City,Algebra II,NA
2015,721.0,Dayton City,Biology I,NA
2014,721.0,Dayton City,Biology I,NA
2013,721.0,Dayton City,Biology I,NA
2012,721.0,Dayton City,Biology I,NA
2011,721.0,Dayton City,Biology I,NA
2015,721.0,Dayton City,Chemistry,NA
2014,721.0,Dayton City,Chemistry,NA
2013,721.0,Dayton City,Chemistry,NA
2012,721.0,Dayton City,Chemistry,NA
2011,721.0,Dayton City,Chemistry,NA
2015,721.0,Dayton City,English I,NA
2014,721.0,Dayton City,English I,NA
2013,721.0,Dayton City,English I,NA
2012,721.0,Dayton City,English I,NA
2011,721.0,Dayton City,English I,NA
2015,721.0,Dayton City,English II,NA
2014,721.0,Dayton City,English II,NA
2013,721.0,Dayton City,English II,NA
2012,721.0,Dayton City,English II,NA
2011,721.0,Dayton City,English II,NA
2015,721.0,Dayton City,English III,NA
2014,721.0,Dayton City,English III,NA
2013,721.0,Dayton City,English III,NA
2012,721.0,Dayton City,English III,NA
2011,721.0,Dayton City,English III,NA
2015,721.0,Dayton City,Graduation Rate,NA
2014,721.0,Dayton City,Graduation Rate,NA
2013,721.0,Dayton City,Graduation Rate,NA
2012,721.0,Dayton City,Graduation Rate,NA
2011,721.0,Dayton City,Graduation Rate,NA
2015,721.0,Dayton City,Math,47.3
2014,721.0,Dayton City,Math,55.1
2013,721.0,Dayton City,Math,47.7
2012,721.0,Dayton City,Math,55.8
2011,721.0,Dayton City,Math,44.3
2015,721.0,Dayton City,ELA,47.5
2014,721.0,Dayton City,ELA,54.9
2013,721.0,Dayton City,ELA,58.5
2012,721.0,Dayton City,ELA,55.9
2011,721.0,Dayton City,ELA,53.2
2015,721.0,Dayton City,Science,70.0
2014,721.0,Dayton City,Science,71.4
2013,721.0,Dayton City,Science,72.1
2012,721.0,Dayton City,Science,73.2
2011,721.0,Dayton City,Science,62.8
2015,200.0,Decatur County,Algebra I,70.2
2014,200.0,Decatur County,Algebra I,69.0
2013,200.0,Decatur County,Algebra I,57.5
2012,200.0,Decatur County,Algebra I,43.6
2011,200.0,Decatur County,Algebra I,58.7
2015,200.0,Decatur County,Algebra II,44.3
2014,200.0,Decatur County,Algebra II,49.5
2013,200.0,Decatur County,Algebra II,30.8
2012,200.0,Decatur County,Algebra II,18.5
2011,200.0,Decatur County,Algebra II,NA
2015,200.0,Decatur County,Biology I,72.7
2014,200.0,Decatur County,Biology I,58.5
2013,200.0,Decatur County,Biology I,63.5
2012,200.0,Decatur County,Biology I,42.5
2011,200.0,Decatur County,Biology I,53.4
2015,200.0,Decatur County,Chemistry,42.9
2014,200.0,Decatur County,Chemistry,40.0
2013,200.0,Decatur County,Chemistry,NA
2012,200.0,Decatur County,Chemistry,NA
2011,200.0,Decatur County,Chemistry,NA
2015,200.0,Decatur County,English I,73.8
2014,200.0,Decatur County,English I,74.4
2013,200.0,Decatur County,English I,66.1
2012,200.0,Decatur County,English I,63.1
2011,200.0,Decatur County,English I,68.0
2015,200.0,Decatur County,English II,69.7
2014,200.0,Decatur County,English II,51.6
2013,200.0,Decatur County,English II,56.6
2012,200.0,Decatur County,English II,48.1
2011,200.0,Decatur County,English II,50.0
2015,200.0,Decatur County,English III,61.1
2014,200.0,Decatur County,English III,46.0
2013,200.0,Decatur County,English III,40.8
2012,200.0,Decatur County,English III,22.1
2011,200.0,Decatur County,English III,NA
2015,200.0,Decatur County,Graduation Rate,94.4
2014,200.0,Decatur County,Graduation Rate,95.2
2013,200.0,Decatur County,Graduation Rate,84.3
2012,200.0,Decatur County,Graduation Rate,87.2
2011,200.0,Decatur County,Graduation Rate,NA
2015,200.0,Decatur County,Math,59.7
2014,200.0,Decatur County,Math,51.8
2013,200.0,Decatur County,Math,55.3
2012,200.0,Decatur County,Math,48.7
2011,200.0,Decatur County,Math,30.0
2015,200.0,Decatur County,ELA,47.1
2014,200.0,Decatur County,ELA,45.8
2013,200.0,Decatur County,ELA,46.1
2012,200.0,Decatur County,ELA,44.4
2011,200.0,Decatur County,ELA,45.1
2015,200.0,Decatur County,Science,71.1
2014,200.0,Decatur County,Science,68.6
2013,200.0,Decatur County,Science,72.1
2012,200.0,Decatur County,Science,66.1
2011,200.0,Decatur County,Science,62.7
2015,210.0,DeKalb County,Algebra I,52.9
2014,210.0,DeKalb County,Algebra I,63.6
2013,210.0,DeKalb County,Algebra I,56.4
2012,210.0,DeKalb County,Algebra I,55.5
2011,210.0,DeKalb County,Algebra I,52.1
2015,210.0,DeKalb County,Algebra II,55.5
2014,210.0,DeKalb County,Algebra II,45.5
2013,210.0,DeKalb County,Algebra II,28.8
2012,210.0,DeKalb County,Algebra II,20.6
2011,210.0,DeKalb County,Algebra II,NA
2015,210.0,DeKalb County,Biology I,72.0
2014,210.0,DeKalb County,Biology I,76.7
2013,210.0,DeKalb County,Biology I,72.1
2012,210.0,DeKalb County,Biology I,56.8
2011,210.0,DeKalb County,Biology I,69.5
2015,210.0,DeKalb County,Chemistry,53.9
2014,210.0,DeKalb County,Chemistry,36.7
2013,210.0,DeKalb County,Chemistry,NA
2012,210.0,DeKalb County,Chemistry,NA
2011,210.0,DeKalb County,Chemistry,NA
2015,210.0,DeKalb County,English I,73.4
2014,210.0,DeKalb County,English I,73.9
2013,210.0,DeKalb County,English I,68.1
2012,210.0,DeKalb County,English I,67.4
2011,210.0,DeKalb County,English I,62.6
2015,210.0,DeKalb County,English II,72.0
2014,210.0,DeKalb County,English II,55.9
2013,210.0,DeKalb County,English II,56.9
2012,210.0,DeKalb County,English II,59.2
2011,210.0,DeKalb County,English II,63.4
2015,210.0,DeKalb County,English III,31.0
2014,210.0,DeKalb County,English III,25.2
2013,210.0,DeKalb County,English III,32.0
2012,210.0,DeKalb County,English III,28.3
2011,210.0,DeKalb County,English III,NA
2015,210.0,DeKalb County,Graduation Rate,94.9
2014,210.0,DeKalb County,Graduation Rate,95.4
2013,210.0,DeKalb County,Graduation Rate,93.5
2012,210.0,DeKalb County,Graduation Rate,94.2
2011,210.0,DeKalb County,Graduation Rate,NA
2015,210.0,DeKalb County,Math,54.4
2014,210.0,DeKalb County,Math,44.6
2013,210.0,DeKalb County,Math,43.0
2012,210.0,DeKalb County,Math,41.9
2011,210.0,DeKalb County,Math,38.1
2015,210.0,DeKalb County,ELA,45.7
2014,210.0,DeKalb County,ELA,48.0
2013,210.0,DeKalb County,ELA,50.0
2012,210.0,DeKalb County,ELA,49.4
2011,210.0,DeKalb County,ELA,48.7
2015,210.0,DeKalb County,Science,65.9
2014,210.0,DeKalb County,Science,66.7
2013,210.0,DeKalb County,Science,64.9
2012,210.0,DeKalb County,Science,63.0
2011,210.0,DeKalb County,Science,62.1
2015,970.0,Department of Children's Services,Algebra I,0.0
2014,970.0,Department of Children's Services,Algebra I,3.8
2013,970.0,Department of Children's Services,Algebra I,2.8
2012,970.0,Department of Children's Services,Algebra I,1.5
2011,970.0,Department of Children's Services,Algebra I,3.6
2015,970.0,Department of Children's Services,Algebra II,1.8
2014,970.0,Department of Children's Services,Algebra II,5.2
2013,970.0,Department of Children's Services,Algebra II,9.5
2012,970.0,Department of Children's Services,Algebra II,NA
2011,970.0,Department of Children's Services,Algebra II,NA
2015,970.0,Department of Children's Services,Biology I,4.1
2014,970.0,Department of Children's Services,Biology I,2.1
2013,970.0,Department of Children's Services,Biology I,9.6
2012,970.0,Department of Children's Services,Biology I,7.0
2011,970.0,Department of Children's Services,Biology I,8.9
2015,970.0,Department of Children's Services,Chemistry,3.7
2014,970.0,Department of Children's Services,Chemistry,0.0
2013,970.0,Department of Children's Services,Chemistry,NA
2012,970.0,Department of Children's Services,Chemistry,NA
2011,970.0,Department of Children's Services,Chemistry,NA
2015,970.0,Department of Children's Services,English I,7.7
2014,970.0,Department of Children's Services,English I,13.3
2013,970.0,Department of Children's Services,English I,11.1
2012,970.0,Department of Children's Services,English I,17.2
2011,970.0,Department of Children's Services,English I,16.7
2015,970.0,Department of Children's Services,English II,12.2
2014,970.0,Department of Children's Services,English II,10.2
2013,970.0,Department of Children's Services,English II,12.3
2012,970.0,Department of Children's Services,English II,18.5
2011,970.0,Department of Children's Services,English II,5.4
2015,970.0,Department of Children's Services,English III,2.4
2014,970.0,Department of Children's Services,English III,3.2
2013,970.0,Department of Children's Services,English III,4.0
2012,970.0,Department of Children's Services,English III,0.0
2011,970.0,Department of Children's Services,English III,NA
2015,970.0,Department of Children's Services,Graduation Rate,NA
2014,970.0,Department of Children's Services,Graduation Rate,NA
2013,970.0,Department of Children's Services,Graduation Rate,NA
2012,970.0,Department of Children's Services,Graduation Rate,NA
2011,970.0,Department of Children's Services,Graduation Rate,NA
2015,970.0,Department of Children's Services,Math,NA
2014,970.0,Department of Children's Services,Math,0.0
2013,970.0,Department of Children's Services,Math,NA
2012,970.0,Department of Children's Services,Math,NA
2011,970.0,Department of Children's Services,Math,NA
2015,970.0,Department of Children's Services,ELA,NA
2014,970.0,Department of Children's Services,ELA,0.0
2013,970.0,Department of Children's Services,ELA,NA
2012,970.0,Department of Children's Services,ELA,NA
2011,970.0,Department of Children's Services,ELA,NA
2015,970.0,Department of Children's Services,Science,NA
2014,970.0,Department of Children's Services,Science,0.0
2013,970.0,Department of Children's Services,Science,NA
2012,970.0,Department of Children's Services,Science,NA
2011,970.0,Department of Children's Services,Science,NA
2015,220.0,Dickson County,Algebra I,68.4
2014,220.0,Dickson County,Algebra I,75.1
2013,220.0,Dickson County,Algebra I,75.4
2012,220.0,Dickson County,Algebra I,69.2
2011,220.0,Dickson County,Algebra I,60.4
2015,220.0,Dickson County,Algebra II,56.6
2014,220.0,Dickson County,Algebra II,44.8
2013,220.0,Dickson County,Algebra II,30.8
2012,220.0,Dickson County,Algebra II,28.1
2011,220.0,Dickson County,Algebra II,NA
2015,220.0,Dickson County,Biology I,69.6
2014,220.0,Dickson County,Biology I,71.7
2013,220.0,Dickson County,Biology I,70.5
2012,220.0,Dickson County,Biology I,61.6
2011,220.0,Dickson County,Biology I,63.3
2015,220.0,Dickson County,Chemistry,42.8
2014,220.0,Dickson County,Chemistry,34.0
2013,220.0,Dickson County,Chemistry,NA
2012,220.0,Dickson County,Chemistry,NA
2011,220.0,Dickson County,Chemistry,NA
2015,220.0,Dickson County,English I,82.8
2014,220.0,Dickson County,English I,83.0
2013,220.0,Dickson County,English I,79.3
2012,220.0,Dickson County,English I,75.5
2011,220.0,Dickson County,English I,73.1
2015,220.0,Dickson County,English II,71.7
2014,220.0,Dickson County,English II,71.9
2013,220.0,Dickson County,English II,65.5
2012,220.0,Dickson County,English II,66.7
2011,220.0,Dickson County,English II,62.2
2015,220.0,Dickson County,English III,44.4
2014,220.0,Dickson County,English III,46.9
2013,220.0,Dickson County,English III,51.0
2012,220.0,Dickson County,English III,43.9
2011,220.0,Dickson County,English III,NA
2015,220.0,Dickson County,Graduation Rate,90.7
2014,220.0,Dickson County,Graduation Rate,87.4
2013,220.0,Dickson County,Graduation Rate,90.3
2012,220.0,Dickson County,Graduation Rate,84.9
2011,220.0,Dickson County,Graduation Rate,NA
2015,220.0,Dickson County,Math,59.6
2014,220.0,Dickson County,Math,57.8
2013,220.0,Dickson County,Math,54.6
2012,220.0,Dickson County,Math,53.3
2011,220.0,Dickson County,Math,53.0
2015,220.0,Dickson County,ELA,52.2
2014,220.0,Dickson County,ELA,57.6
2013,220.0,Dickson County,ELA,58.9
2012,220.0,Dickson County,ELA,58.4
2011,220.0,Dickson County,ELA,56.3
2015,220.0,Dickson County,Science,75.8
2014,220.0,Dickson County,Science,75.5
2013,220.0,Dickson County,Science,76.2
2012,220.0,Dickson County,Science,76.5
2011,220.0,Dickson County,Science,71.7
2015,230.0,Dyer County,Algebra I,88.4
2014,230.0,Dyer County,Algebra I,76.0
2013,230.0,Dyer County,Algebra I,77.3
2012,230.0,Dyer County,Algebra I,79.9
2011,230.0,Dyer County,Algebra I,74.4
2015,230.0,Dyer County,Algebra II,77.7
2014,230.0,Dyer County,Algebra II,70.0
2013,230.0,Dyer County,Algebra II,63.8
2012,230.0,Dyer County,Algebra II,62.7
2011,230.0,Dyer County,Algebra II,NA
2015,230.0,Dyer County,Biology I,80.8
2014,230.0,Dyer County,Biology I,78.9
2013,230.0,Dyer County,Biology I,81.7
2012,230.0,Dyer County,Biology I,66.7
2011,230.0,Dyer County,Biology I,74.6
2015,230.0,Dyer County,Chemistry,58.0
2014,230.0,Dyer County,Chemistry,43.3
2013,230.0,Dyer County,Chemistry,NA
2012,230.0,Dyer County,Chemistry,NA
2011,230.0,Dyer County,Chemistry,NA
2015,230.0,Dyer County,English I,75.0
2014,230.0,Dyer County,English I,66.8
2013,230.0,Dyer County,English I,67.6
2012,230.0,Dyer County,English I,71.3
2011,230.0,Dyer County,English I,72.0
2015,230.0,Dyer County,English II,68.5
2014,230.0,Dyer County,English II,65.7
2013,230.0,Dyer County,English II,65.9
2012,230.0,Dyer County,English II,64.5
2011,230.0,Dyer County,English II,61.6
2015,230.0,Dyer County,English III,54.4
2014,230.0,Dyer County,English III,45.0
2013,230.0,Dyer County,English III,50.8
2012,230.0,Dyer County,English III,38.1
2011,230.0,Dyer County,English III,NA
2015,230.0,Dyer County,Graduation Rate,95.0
2014,230.0,Dyer County,Graduation Rate,90.9
2013,230.0,Dyer County,Graduation Rate,98.9
2012,230.0,Dyer County,Graduation Rate,94.3
2011,230.0,Dyer County,Graduation Rate,NA
2015,230.0,Dyer County,Math,63.8
2014,230.0,Dyer County,Math,56.4
2013,230.0,Dyer County,Math,57.4
2012,230.0,Dyer County,Math,50.9
2011,230.0,Dyer County,Math,47.9
2015,230.0,Dyer County,ELA,54.7
2014,230.0,Dyer County,ELA,54.5
2013,230.0,Dyer County,ELA,55.7
2012,230.0,Dyer County,ELA,47.5
2011,230.0,Dyer County,ELA,48.5
2015,230.0,Dyer County,Science,73.4
2014,230.0,Dyer County,Science,66.8
2013,230.0,Dyer County,Science,69.2
2012,230.0,Dyer County,Science,62.9
2011,230.0,Dyer County,Science,60.2
2015,231.0,Dyersburg City,Algebra I,66.4
2014,231.0,Dyersburg City,Algebra I,77.9
2013,231.0,Dyersburg City,Algebra I,69.4
2012,231.0,Dyersburg City,Algebra I,64.3
2011,231.0,Dyersburg City,Algebra I,61.5
2015,231.0,Dyersburg City,Algebra II,67.6
2014,231.0,Dyersburg City,Algebra II,50.0
2013,231.0,Dyersburg City,Algebra II,58.7
2012,231.0,Dyersburg City,Algebra II,39.3
2011,231.0,Dyersburg City,Algebra II,NA
2015,231.0,Dyersburg City,Biology I,69.4
2014,231.0,Dyersburg City,Biology I,51.7
2013,231.0,Dyersburg City,Biology I,65.0
2012,231.0,Dyersburg City,Biology I,64.2
2011,231.0,Dyersburg City,Biology I,64.1
2015,231.0,Dyersburg City,Chemistry,49.6
2014,231.0,Dyersburg City,Chemistry,50.0
2013,231.0,Dyersburg City,Chemistry,NA
2012,231.0,Dyersburg City,Chemistry,NA
2011,231.0,Dyersburg City,Chemistry,NA
2015,231.0,Dyersburg City,English I,70.5
2014,231.0,Dyersburg City,English I,71.3
2013,231.0,Dyersburg City,English I,59.9
2012,231.0,Dyersburg City,English I,64.8
2011,231.0,Dyersburg City,English I,67.0
2015,231.0,Dyersburg City,English II,67.3
2014,231.0,Dyersburg City,English II,62.3
2013,231.0,Dyersburg City,English II,60.8
2012,231.0,Dyersburg City,English II,63.4
2011,231.0,Dyersburg City,English II,57.0
2015,231.0,Dyersburg City,English III,22.5
2014,231.0,Dyersburg City,English III,37.8
2013,231.0,Dyersburg City,English III,37.0
2012,231.0,Dyersburg City,English III,24.3
2011,231.0,Dyersburg City,English III,NA
2015,231.0,Dyersburg City,Graduation Rate,83.2
2014,231.0,Dyersburg City,Graduation Rate,86.0
2013,231.0,Dyersburg City,Graduation Rate,92.7
2012,231.0,Dyersburg City,Graduation Rate,83.6
2011,231.0,Dyersburg City,Graduation Rate,NA
2015,231.0,Dyersburg City,Math,57.5
2014,231.0,Dyersburg City,Math,50.0
2013,231.0,Dyersburg City,Math,46.9
2012,231.0,Dyersburg City,Math,44.5
2011,231.0,Dyersburg City,Math,44.4
2015,231.0,Dyersburg City,ELA,46.1
2014,231.0,Dyersburg City,ELA,44.6
2013,231.0,Dyersburg City,ELA,43.5
2012,231.0,Dyersburg City,ELA,43.4
2011,231.0,Dyersburg City,ELA,42.4
2015,231.0,Dyersburg City,Science,60.8
2014,231.0,Dyersburg City,Science,54.4
2013,231.0,Dyersburg City,Science,51.3
2012,231.0,Dyersburg City,Science,50.7
2011,231.0,Dyersburg City,Science,47.0
2015,101.0,Elizabethton City,Algebra I,77.8
2014,101.0,Elizabethton City,Algebra I,70.3
2013,101.0,Elizabethton City,Algebra I,69.9
2012,101.0,Elizabethton City,Algebra I,67.3
2011,101.0,Elizabethton City,Algebra I,53.3
2015,101.0,Elizabethton City,Algebra II,59.4
2014,101.0,Elizabethton City,Algebra II,50.9
2013,101.0,Elizabethton City,Algebra II,42.6
2012,101.0,Elizabethton City,Algebra II,46.6
2011,101.0,Elizabethton City,Algebra II,NA
2015,101.0,Elizabethton City,Biology I,83.8
2014,101.0,Elizabethton City,Biology I,21.7
2013,101.0,Elizabethton City,Biology I,70.8
2012,101.0,Elizabethton City,Biology I,67.9
2011,101.0,Elizabethton City,Biology I,57.3
2015,101.0,Elizabethton City,Chemistry,39.0
2014,101.0,Elizabethton City,Chemistry,53.0
2013,101.0,Elizabethton City,Chemistry,NA
